measure_number	beat	offset	duration	notes
0	3.0	0.0	0.5	('E-3', 'E-4')
1	1.0	0.5	0.5	('A-2', 'E-3', 'C4', 'E-4')
1	2.0	1.0	0.5	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
1	3.0	1.5	0.5	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
2	1.0	2.0	0.25	('B-2', 'E-3', 'A-3', 'D-4', 'E-4', 'A-4')
2	1.5	2.25	0.25	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
2	2.0	2.5	0.375	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
2	2.75	2.875	0.125	('B-2', 'E-3', 'F3', 'D-4', 'E-4', 'F4')
2	3.0	3.0	0.375	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
2	3.75	3.375	0.125	('B-2', 'E-3', 'D-4', 'E-4')
3	1.0	3.5	0.5	('A-3', 'A-4')
3	2.0	4.0	0.5	('C3', 'A-3', 'E-4', 'A-4')
3	3.0	4.5	0.5	('G2', 'E-3', 'B-3', 'E-4', 'B-4')
4	1.0	5.0	0.375	('A-2', 'E-3', 'C4', 'E-4', 'A-4', 'D-5')
4	1.75	5.375	0.125	('A-2', 'E-3', 'C4', 'E-4', 'A-4', 'C5')
4	2.0	5.5	0.5	('E-2', 'E-3', 'B-3', 'E-4', 'G4', 'B-4')
4	3.0	6.0	0.125	('B-4', 'C5')
4	3.25	6.125	0.125	('A4',)
4	3.5	6.25	0.125	('B-4',)
4	3.75	6.375	0.125	('C5',)
5	1.0	6.5	0.5	('F3', 'A-4', 'D-5')
5	2.0	7.0	0.5	('F4', 'A-4', 'D-5')
5	3.0	7.5	0.5	('E-4', 'A-4', 'C5')
6	1.0	8.0	0.5	('D4', 'A-4', 'B-4', 'F5')
6	2.0	8.5	0.5	('D-4', 'G4', 'B-4')
6	3.0	9.0	0.5	('C4', 'A-4', 'E-5')
7	1.0	9.5	0.5	('F3', 'F4', 'A-4')
7	2.0	10.0	0.5	('G3', 'F-4', 'B-4', 'D-5')
7	3.0	10.5	0.5	('A-3', 'E-4', 'A-4', 'C5')
8	1.0	11.0	0.5	('E-3', 'E-4', 'F#4', 'A4')
8	2.0	11.5	0.25	('E-3', 'E-4', 'G4', 'B-4')
8	2.5	11.75	0.25	('E-3', 'E-4')
8	3.0	12.0	0.375	('E-3', 'E-4')
8	3.75	12.375	0.125	('E-3', 'E-4')
9	1.0	12.5	0.25	('A-2', 'E-3', 'C4', 'E-4')
9	1.5	12.75	0.25	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
9	2.0	13.0	0.25	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
9	2.5	13.25	0.25	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
9	3.0	13.5	0.25	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
9	3.5	13.75	0.25	('A-2', 'E-3', 'A-3', 'C4', 'E-4', 'A-4')
10	1.0	14.0	0.25	('B-2', 'E-3', 'A-3', 'D-4', 'E-4', 'A-4')
10	1.5	14.25	0.25	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
10	2.0	14.5	0.375	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
10	2.75	14.875	0.125	('B-2', 'E-3', 'F3', 'D-4', 'E-4', 'F4')
10	3.0	15.0	0.375	('B-2', 'E-3', 'G3', 'D-4', 'E-4', 'G4')
10	3.75	15.375	0.125	('B-2', 'E-3', 'D-4', 'E-4')
11	1.0	15.5	0.5	('A-3', 'A-4')
11	2.0	16.0	0.5	('C3', 'A-3', 'E-4', 'A-4')
11	3.0	16.5	0.5	('G2', 'E-3', 'B-3', 'E-4', 'B-4')
12	1.0	17.0	0.375	('A-2', 'E-3', 'C4', 'E-4', 'A-4', 'D-5')
